N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
8,0,0.00078125,4,48,1180,1180,0.009888256829455318,2.21,improved
8,0,0.00078125,4,50,1325,1325,0.009891555599013,2.22,improved
8,0,0.00078125,4,52,1495,1495,0.009894602662456623,2.28,improved
8,0,0.00078125,4,54,1665,1665,0.009897425622712354,2.38,improved
8,0,0.00078125,4,56,1862,1862,0.009900048190406846,2.41,improved
8,0,0.00078125,4,58,2059,2059,0.00990249084193108,2.54,improved
8,0,0.00078125,4,60,2285,2285,0.009904771354894227,2.65,improved
8,0,0.00078125,4,62,2511,2511,0.009906905252152131,2.65,improved
8,0,0.00078125,4,64,2768,2768,0.009908906130268274,2.83,improved
8,0,0.00078125,4,66,3025,3025,0.009910785960809687,2.94,improved
8,0,0.00078125,4,68,3315,3315,0.009912555318004291,3.18,improved
8,0,0.00078125,4,70,3605,3605,0.009914223578546499,3.33,improved
8,0,0.000390625,4,26,195,195,0.004907978623406712,1.8,improved
8,0,0.000390625,4,28,245,245,0.00491332585584583,1.83,improved
8,0,0.000390625,4,30,295,295,0.0049179772039911075,1.86,improved
8,0,0.000390625,4,32,360,360,0.004922060218694062,1.87,improved
8,0,0.000390625,4,34,425,425,0.004925673056715509,1.88,improved
8,0,0.000390625,4,36,507,507,0.00492889250213611,1.89,improved
8,0,0.000390625,4,38,589,589,0.004931779456926615,1.92,improved
8,0,0.000390625,4,40,690,690,0.004934382869097517,1.97,improved
8,0,0.000390625,4,42,791,791,0.0049367425117517955,1.99,improved
8,0,0.000390625,4,44,913,913,0.004938891062125223,2.08,improved
8,0,0.000390625,4,46,1035,1035,0.004940855589821596,2.07,improved
8,0,0.000390625,4,48,1180,1180,0.004942658738516197,2.17,improved
8,0,0.000390625,4,50,1325,1325,0.004944319572129735,2.3,improved
8,0,0.000390625,4,52,1495,1495,0.0049458542640578125,2.31,improved
8,0,0.000390625,4,54,1665,1665,0.004947276632297304,2.38,improved
8,0,0.000390625,4,56,1862,1862,0.004948598550181384,2.5,improved
8,0,0.000390625,4,58,2059,2059,0.004949830259141645,2.51,improved
8,0,0.000390625,4,60,2285,2285,0.004950980668058508,2.65,improved
8,0,0.000390625,4,62,2511,2511,0.004952057548566387,2.75,improved
8,0,0.000390625,4,64,2768,2768,0.004953067704864693,2.82,improved
8,0,0.000390625,4,66,3025,3025,0.0049540171341151155,2.96,improved
8,0,0.000390625,4,68,3315,3315,0.004954911132860152,3.25,improved
8,0,0.000390625,4,70,3605,3605,0.004955754402331871,3.31,improved
8,0,0.0001953125,4,26,195,195,0.0024535834877918734,1.87,improved
8,0,0.0001953125,4,28,245,245,0.0024562611106935094,1.88,improved
8,0,0.0001953125,4,30,295,295,0.002458590664798154,1.88,improved
8,0,0.0001953125,4,32,360,360,0.0024606359177861813,1.92,improved
8,0,0.0001953125,4,34,425,425,0.002462445967650322,1.95,improved
8,0,0.0001953125,4,36,507,507,0.0024640592053439343,1.95,improved
8,0,0.0001953125,4,38,589,589,0.002465506090641557,1.98,improved
8,0,0.0001953125,4,40,690,690,0.00246681110680993,2.01,improved
8,0,0.0001953125,4,42,791,791,0.002467994140550843,2.04,improved
8,0,0.0001953125,4,44,913,913,0.0024690715369180614,2.08,improved
