# THESIS Fig 18(b): SEVEN-quark contribution to the lightest N=3 baryon
# structure function, 2K = 15.  K. Hornbostel, SLAC-333 (1988), p. 77.
# The article's Fig. 4(c) is the same plot.
#
# This sector had never been checked against anything.  Fig. 18(a) (five-quark)
# is the panel above it on the same page, from the same run, and our five-quark
# sector reproduces it to 1% at m/g=1.6 and ~5% at m/g=0.1.
#
# Measured directly from a 600 dpi render by column-probing the 2K=15 lattice,
# not via the blob tracer: the panel draws x and o glyphs, which the tracer's
# fill classifier cannot separate.  Frame x 900-3013, y 2345-3999 on page 89;
# y axis 0..12 with seven evenly spaced major ticks (fractions 0.0012 0.1687
# 0.3343 0.5000 0.6651 0.8331 0.9976) confirming the 0 2 4 6 8 10 12 labels.
# Legend, read at 4x magnification and unambiguous:
#     x  m/g=1.6  (x10^7)      o  m/g=.1  (x10^4)
#
# The m/g=0.1 series is recorded but NOT used as a test: its glyphs overlap the
# dashed curve at every site we can resolve, and no round multiplier reconciles
# it (the value at x=1/15 implies x2.7e5, not the legend's x10^4), so the
# reading itself is not trustworthy.  The m/g=1.6 series is cleanly separated.
#
# Values are q(x) times the multiplier, as plotted.
x,k,mg,multiplier,q
0.066667,1,1.6,1e7,5.32
0.200000,3,1.6,1e7,3.96
0.333333,5,1.6,1e7,2.73
0.466667,7,1.6,1e7,0.04
0.066667,1,0.1,1e4,10.16
0.200000,3,0.1,1e4,5.98
0.333333,5,0.1,1e4,1.71
0.466667,7,0.1,1e4,1.92
