# M^2 of the ground state on an (m/g, K) grid, for all five Table I channels.
#
# Written for the weak-coupling analysis in docs/weak-coupling-limit.md, which
# needs a finer m/g grid than Table I's and a longer reach in m/g than the
# (m/g)^2 limit form survives.  Two things it supports that Table I's own
# couplings cannot:
#
#   * the chiral end (m/g = 0.025-0.2), where the joint (m/g, K) fit is scored
#     and where it puts the per-coupling Eq. (27) values 1-2 sigma high;
#   * the heavy end (m/g up to 24, mes N=2 and bar N=3 only), which is what
#     confirms the free-quark limit R = M^2/(m^2+g^2/pi) -> n_q^2 that the
#     rational limit form imposes.  Measured R/n_q^2 at 2K=68: 1.0060 (mes N=2)
#     and 1.0096 (bar N=3) at m/g = 24.
#
# Units: M^2 in m^2 + g^2/pi, the same convention as refs/table1.csv.
# LPN is the Table I truncation, figures.sweep_lpn(N, B).
# Grid: 2K = 25..69 at the parity each channel requires, so K_code steps by 2.
#
# Superset of data/joint_fit_msq.csv, which is kept because tools/joint_fit.py
# takes it by name.  The 120 overlapping bar N=3 cells agree to 1.6e-14
# relative -- 74 of them bit-identically, the rest differing in the last digit
# or two, since a sparse Lanczos solve is not bit-reproducible across runs.
# That is ten orders of magnitude below the 1e-4 reproducibility floor of the
# original algorithm (docs/basis-dependence.md).
#
# Regenerate a superset (this is a reduction of large_k_sweep's nine columns):
#   python tools/large_k_sweep.py --N <N> --B <B> --K-lo 25 --K-hi 69 \
#       --mg 0.025 0.05 0.075 0.1 0.15 0.2 0.3 0.4 0.6 0.8 1.2 1.6 \
#       --lpn <sweep_lpn(N,B)> --nev 12
# --nev 12 is verified to give the identical ground state to a full solve
# (0.3012878408 at mes N=2, 2K=68, m/g=0.1).
#
# Channels: mes N=2, mes N=3, bar N=3, mes N=4, bar N=4
# Couplings: 0.025, 0.05, 0.075, 0.1, 0.15, 0.2, 0.3, 0.4, 0.6, 0.8, 1.2, 1.6, 3.0, 6.0, 12.0, 24.0
# 1446 rows.
quantity,N,B,mg,LPN,K_code,msq
mes,2,0,1.6,4,40,4.282563068263624
mes,2,0,1.6,4,42,4.284061167231661
mes,2,0,1.6,4,44,4.2854224980110205
mes,2,0,1.6,4,46,4.286665000966246
mes,2,0,1.6,4,48,4.287803605497237
mes,2,0,1.6,4,50,4.288850837193211
mes,2,0,1.6,4,52,4.2898172835563555
mes,2,0,1.6,4,54,4.290711955347524
mes,2,0,1.6,4,56,4.291542569896527
mes,2,0,1.6,4,58,4.292315775378989
mes,2,0,1.6,4,60,4.293037329943137
mes,2,0,1.6,4,62,4.2937122459579316
mes,2,0,1.6,4,64,4.2943449070628334
mes,2,0,1.6,4,66,4.294939163826779
mes,2,0,1.6,4,68,4.295498412443871
mes,2,0,1.2,4,26,4.183422146116236
mes,2,0,1.2,4,28,4.1877569913757675
mes,2,0,1.2,4,30,4.191521386622404
mes,2,0,1.2,4,32,4.194821439299243
mes,2,0,1.2,4,34,4.197738382802191
mes,2,0,1.2,4,36,4.200335485659697
mes,2,0,1.2,4,38,4.202662772039321
mes,2,0,1.2,4,40,4.2047603241258305
mes,2,0,1.2,4,42,4.206660640940742
mes,2,0,1.2,4,44,4.208390354536425
mes,2,0,1.2,4,46,4.209971499360948
mes,2,0,1.2,4,48,4.211422465126907
mes,2,0,1.2,4,50,4.2127587217334685
mes,2,0,1.2,4,52,4.213993377519291
mes,2,0,1.2,4,54,4.2151376139681656
mes,2,0,1.2,4,56,4.216201027674264
mes,2,0,1.2,4,58,4.217191901885285
mes,2,0,1.2,4,60,4.2181174240034
mes,2,0,1.2,4,62,4.218983861199648
mes,2,0,1.2,4,64,4.219796703272531
mes,2,0,1.2,4,66,4.220560779668734
mes,2,0,1.2,4,68,4.2212803559640735
mes,2,0,0.8,4,26,3.8186449436646193
mes,2,0,0.8,4,28,3.8248715667914177
mes,2,0,0.8,4,30,3.8303123040272102
mes,2,0,0.8,4,32,3.835108373139556
mes,2,0,0.8,4,34,3.8393688870858864
mes,2,0,0.8,4,36,3.8431795211688247
mes,2,0,0.8,4,38,3.846608508514387
mes,2,0,0.8,4,40,3.849710879722736
mes,2,0,0.8,4,42,3.8525315199195487
mes,2,0,0.8,4,44,3.8551074117476953
mes,2,0,0.8,4,46,3.8574693069666286
mes,2,0,0.8,4,48,3.8596429899006868
mes,2,0,0.8,4,50,3.861650244683925
mes,2,0,0.8,4,52,3.8635096044273087
mes,2,0,0.8,4,54,3.865236937701682
mes,2,0,0.8,4,56,3.8668459121885683
mes,2,0,0.8,4,58,3.868348364555097
mes,2,0,0.8,4,60,3.8697545979982713
mes,2,0,0.8,4,62,3.871073623468507
mes,2,0,0.8,4,64,3.8723133566512016
mes,2,0,0.8,4,66,3.873480779907808
mes,2,0,0.8,4,68,3.8745820762514476
mes,2,0,0.6,4,26,3.3263657248895417
mes,2,0,0.6,4,28,3.3349435926527384
mes,2,0,0.6,4,30,3.3424762506235113
mes,2,0,0.6,4,32,3.3491474438466837
mes,2,0,0.6,4,34,3.3550997762223034
mes,2,0,0.6,4,36,3.3604456919753862
mes,2,0,0.6,4,38,3.3652751017977995
mes,2,0,0.6,4,40,3.369660795716702
mes,2,0,0.6,4,42,3.3736623600055293
mes,2,0,0.6,4,44,3.377329060856871
mes,2,0,0.6,4,46,3.3807020004764534
mes,2,0,0.6,4,48,3.383815751845874
mes,2,0,0.6,4,50,3.3866996140141827
mes,2,0,0.6,4,52,3.3893785872006683
mes,2,0,0.6,4,54,3.3918741382982116
mes,2,0,0.6,4,56,3.3942048076964877
mes,2,0,0.6,4,58,3.3963866946446855
mes,2,0,0.6,4,60,3.3984338486946535
mes,2,0,0.6,4,62,3.400358587834055
mes,2,0,0.6,4,64,3.402171758894541
mes,2,0,0.6,4,66,3.4038829521354215
mes,2,0,0.6,4,68,3.4055006791728335
mes,2,0,0.4,4,26,2.3731353012993717
mes,2,0,0.4,4,28,2.3854417693089673
mes,2,0,0.4,4,30,2.396387111326719
mes,2,0,0.4,4,32,2.406196272948009
mes,2,0,0.4,4,34,2.4150460650336756
mes,2,0,0.4,4,36,2.4230775602346557
mes,2,0,0.4,4,38,2.430404812169975
mes,2,0,0.4,4,40,2.4371211178286787
mes,2,0,0.4,4,42,2.443303599630094
mes,2,0,0.4,4,44,2.4490166139686864
mes,2,0,0.4,4,46,2.4543143247662043
mes,2,0,0.4,4,48,2.45924267284471
mes,2,0,0.4,4,50,2.4638409014405735
mes,2,0,0.4,4,52,2.468142751104285
mes,2,0,0.4,4,54,2.4721774052132965
mes,2,0,0.4,4,56,2.47597024518011
mes,2,0,0.4,4,58,2.4795434588874157
mes,2,0,0.4,4,60,2.4829165348056508
mes,2,0,0.4,4,62,2.4861066662575566
mes,2,0,0.4,4,64,2.48912908445856
mes,2,0,0.4,4,66,2.491997334653288
mes,2,0,0.4,4,68,2.4947235064528837
mes,2,0,0.3,4,26,1.675364144229178
mes,2,0,0.3,4,28,1.688098242797548
mes,2,0,0.3,4,30,1.6995591878805152
mes,2,0,0.3,4,32,1.7099442823956872
mes,2,0,0.3,4,34,1.719410562380179
mes,2,0,0.3,4,36,1.7280847858016684
mes,2,0,0.3,4,38,1.7360705485044612
mes,2,0,0.3,4,40,1.7434534561494732
mes,2,0,0.3,4,42,1.7503049505972874
mes,2,0,0.3,4,44,1.7566851860541561
mes,2,0,0.3,4,46,1.7626452219880409
mes,2,0,0.3,4,48,1.7682287167835806
mes,2,0,0.3,4,50,1.773473251189206
mes,2,0,0.3,4,52,1.7784113735697373
mes,2,0,0.3,4,54,1.7830714335511482
mes,2,0,0.3,4,56,1.787478252899221
mes,2,0,0.3,4,58,1.7916536699085093
mes,2,0,0.3,4,60,1.7956169845547834
mes,2,0,0.3,4,62,1.7993853251053598
mes,2,0,0.3,4,64,1.8029739520553694
mes,2,0,0.3,4,66,1.8063965116697542
mes,2,0,0.3,4,68,1.8096652487169234
mes,2,0,0.2,4,26,0.9041883226421454
mes,2,0,0.2,4,28,0.9137825117050657
mes,2,0,0.2,4,30,0.9225405591567878
mes,2,0,0.2,4,32,0.9305821955629611
mes,2,0,0.2,4,34,0.9380039902148037
mes,2,0,0.2,4,36,0.9448848759934977
mes,2,0,0.2,4,38,0.9512901320589627
mes,2,0,0.2,4,40,0.9572743113998494
mes,2,0,0.2,4,42,0.9628834302694951
mes,2,0,0.2,4,44,0.9681566310165977
mes,2,0,0.2,4,46,0.9731274625427427
mes,2,0,0.2,4,48,0.9778248786924807
mes,2,0,0.2,4,50,0.9822740255717071
mes,2,0,0.2,4,52,0.9864968688566013
mes,2,0,0.2,4,54,0.9905126983563989
mes,2,0,0.2,4,56,0.9943385373848312
mes,2,0,0.2,4,58,0.9979894775698545
mes,2,0,0.2,4,60,1.001478954717558
mes,2,0,0.2,4,62,1.0048189776761394
mes,2,0,0.2,4,64,1.008020319425874
mes,2,0,0.2,4,66,1.0110926775856266
mes,2,0,0.2,4,68,1.0140448099836847
mes,2,0,0.15,4,26,0.5488531341989483
mes,2,0,0.15,4,28,0.5554964357193766
mes,2,0,0.15,4,30,0.5616022459171138
mes,2,0,0.15,4,32,0.5672447297259803
mes,2,0,0.15,4,34,0.5724840196487035
mes,2,0,0.15,4,36,0.5773695154759084
mes,2,0,0.15,4,38,0.5819422717931871
mes,2,0,0.15,4,40,0.5862367594326479
mes,2,0,0.15,4,42,0.5902821876158612
mes,2,0,0.15,4,44,0.5941035117027765
mes,2,0,0.15,4,46,0.5977222119522745
mes,2,0,0.15,4,48,0.6011569028453138
mes,2,0,0.15,4,50,0.6044238152315764
mes,2,0,0.15,4,52,0.6075371817766716
mes,2,0,0.15,4,54,0.6105095480073229
mes,2,0,0.15,4,56,0.6133520254878391
mes,2,0,0.15,4,58,0.6160744995374768
mes,2,0,0.15,4,60,0.6186858009062581
mes,2,0,0.15,4,62,0.6211938486329618
mes,2,0,0.15,4,64,0.623605769677744
mes,2,0,0.15,4,66,0.6259279996990769
mes,2,0,0.15,4,68,0.6281663684167653
mes,2,0,0.1,4,26,0.25839383513846254
mes,2,0,0.1,4,28,0.2618535132201183
mes,2,0,0.1,4,30,0.2650521062064458
mes,2,0,0.1,4,32,0.26802459479617524
mes,2,0,0.1,4,34,0.27079944028419944
mes,2,0,0.1,4,36,0.27340010475663695
mes,2,0,0.1,4,38,0.2758461531020675
mes,2,0,0.1,4,40,0.2781540676190649
mes,2,0,0.1,4,42,0.28033786065996785
mes,2,0,0.1,4,44,0.2824095425225217
mes,2,0,0.1,4,46,0.2843794837518123
mes,2,0,0.1,4,48,0.28625669919059427
mes,2,0,0.1,4,50,0.28804907320162376
mes,2,0,0.1,4,52,0.2897635400887113
mes,2,0,0.1,4,54,0.29140622998903254
mes,2,0,0.1,4,56,0.292982587866965
mes,2,0,0.1,4,58,0.29449747134083604
mes,2,0,0.1,4,60,0.2959552317002608
mes,2,0,0.1,4,62,0.29735978146059777
mes,2,0,0.1,4,64,0.29871465104829076
mes,2,0,0.1,4,66,0.30002303664747015
mes,2,0,0.1,4,68,0.3012878408086934
mes,2,0,0.075,4,26,0.1484115446281733
mes,2,0,0.075,4,28,0.1504741351970229
mes,2,0,0.075,4,30,0.1523856541602496
mes,2,0,0.075,4,32,0.1541661349074912
mes,2,0,0.075,4,34,0.1558318935715234
mes,2,0,0.075,4,36,0.15739639400344688
mes,2,0,0.075,4,38,0.15887087506701833
mes,2,0,0.075,4,40,0.1602648145352209
mes,2,0,0.075,4,42,0.16158627812927157
mes,2,0,0.075,4,44,0.1628421862120261
mes,2,0,0.075,4,46,0.16403852039422914
mes,2,0,0.075,4,48,0.1651804855963463
mes,2,0,0.075,4,50,0.16627263861134356
mes,2,0,0.075,4,52,0.16731899114649001
mes,2,0,0.075,4,54,0.16832309318872665
mes,2,0,0.075,4,56,0.16928810103651282
mes,2,0,0.075,4,58,0.17021683325962136
mes,2,0,0.075,4,60,0.17111181706965717
mes,2,0,0.075,4,62,0.1719753270056951
mes,2,0,0.075,4,64,0.17280941741473824
mes,2,0,0.075,4,66,0.173615949882454
mes,2,0,0.075,4,68,0.17439661652823077
mes,2,0,0.05,4,26,0.06696811079056578
mes,2,0,0.05,4,28,0.06792477142319703
mes,2,0,0.05,4,30,0.06881303072759891
mes,2,0,0.05,4,32,0.06964189752167592
mes,2,0,0.05,4,34,0.07041871326410963
mes,2,0,0.05,4,36,0.07114953959825786
mes,2,0,0.05,4,38,0.07183943946814408
mes,2,0,0.05,4,40,0.07249268505619513
mes,2,0,0.05,4,42,0.0731129142733566
mes,2,0,0.05,4,44,0.07370325035849931
mes,2,0,0.05,4,46,0.07426639455442777
mes,2,0,0.05,4,48,0.07480469882107121
mes,2,0,0.05,4,50,0.07532022353360247
mes,2,0,0.05,4,52,0.07581478373931326
mes,2,0,0.05,4,54,0.0762899865916381
mes,2,0,0.05,4,56,0.07674726190757258
mes,2,0,0.05,4,58,0.07718788730977369
mes,2,0,0.05,4,60,0.0776130090667738
mes,2,0,0.05,4,62,0.07802365948423226
mes,2,0,0.05,4,64,0.07842077151121277
mes,2,0,0.05,4,66,0.07880519107953482
mes,2,0,0.05,4,68,0.07917768758580743
mes,2,0,0.025,4,26,0.016896798775667476
mes,2,0,0.025,4,28,0.017142297102615427
mes,2,0,0.025,4,30,0.017370519626535345
mes,2,0,0.025,4,32,0.017583733498036446
mes,2,0,0.025,4,34,0.017783786774425936
mes,2,0,0.025,4,36,0.017972205776917625
mes,2,0,0.025,4,38,0.01815026571935467
mes,2,0,0.025,4,40,0.018319042957351622
mes,2,0,0.025,4,42,0.018479454314346375
mes,2,0,0.025,4,44,0.018632287140555145
mes,2,0,0.025,4,46,0.01877822260771375
mes,2,0,0.025,4,48,0.018917853988618828
mes,2,0,0.025,4,50,0.01905170116319173
mes,2,0,0.025,4,52,0.019180222250144395
mes,2,0,0.025,4,54,0.019303823020567858
mes,2,0,0.025,4,56,0.019422864583758085
mes,2,0,0.025,4,58,0.019537669711642662
mes,2,0,0.025,4,60,0.019648528081673097
mes,2,0,0.025,4,62,0.019755700652752672
mes,2,0,0.025,4,64,0.01985942334085534
mes,2,0,0.025,4,66,0.01995991012467968
mes,2,0,0.025,4,68,0.02005735568426566
mes,3,0,1.6,4,26,4.549633222742526
mes,3,0,1.6,4,28,4.554287080735203
mes,3,0,1.6,4,30,4.558327207086576
mes,3,0,1.6,4,32,4.56186796843831
mes,3,0,1.6,4,34,4.5649968802404
mes,3,0,1.6,4,36,4.567782074434034
mes,3,0,1.6,4,38,4.570277399176681
mes,3,0,1.6,4,40,4.572525984925128
mes,3,0,1.6,4,42,4.5745627905300985
mes,3,0,1.6,4,44,4.5764164549360355
mes,3,0,1.6,4,46,4.578110666247328
mes,3,0,1.6,4,48,4.5796651890674145
mes,3,0,1.6,4,50,4.5810966458095335
mes,3,0,1.6,4,52,4.5824191181801135
mes,3,0,1.6,4,54,4.583644615405012
mes,3,0,1.6,4,56,4.584783442458199
mes,3,0,1.6,4,58,4.585844492382394
mes,3,0,1.6,4,60,4.586835480370159
mes,3,0,1.6,4,62,4.587763132722196
mes,3,0,1.6,4,64,4.588633340524395
mes,3,0,1.6,4,66,4.589451285503868
mes,3,0,1.6,4,68,4.590221543773449
mes,3,0,1.2,4,26,4.533649824590544
mes,3,0,1.2,4,28,4.539875830460073
