# M^2 of the ground state under the IMPROVED Hamiltonian -- van de Sande's
# endpoint subtraction, hep-ph/9605409 -- on Table I's own grid.
#
# The companion to data/chiral_grid_msq.csv, which holds the same grid under the
# standard Hamiltonian.  Together they are what docs/weak-coupling-limit.md
# compares.  Generated with:
#
#   tools/large_k_sweep.py --N <N> --B <B> --K-lo 25 --K-hi 71 \
#       --mg 1.6 0.8 0.4 0.2 0.1 0.05 --lpn <sweep_lpn(N,B)> --nev 12 \
#       --hamiltonian improved
#
# LPN is the Table I truncation, sweep_lpn(N,B) = valence+2, so these are the
# Fock-extended sectors the published table uses -- not the valence sectors
# where the construction has an exact anchor.
#
# Units: M^2 in m^2 + g^2/pi, the same convention as refs/table1.csv.
# Extrapolate these in a PLAIN 1/K series (van de Sande Eq. 14).  Do NOT admit
# K^-2b powers: that column is near-degenerate with the intercept at small b and
# corrupts it -- measured, see docs/weak-coupling-limit.md.
#
# Channels: mes N=2, mes N=3, bar N=3, mes N=4, bar N=4
# Couplings: 1.6, 0.8, 0.4, 0.2, 0.1, 0.05
# 696 rows.
quantity,N,B,mg,LPN,K_code,msq
mes,2,0,0.1,4,64,0.5882133927544497
mes,2,0,0.1,4,66,0.5878575540015573
mes,2,0,0.1,4,68,0.5875072474880524
mes,2,0,0.1,4,70,0.587175347353061
mes,2,0,0.05,4,26,0.2752929774767207
mes,2,0,0.05,4,28,0.27474559600623844
mes,2,0,0.05,4,30,0.2742615490899224
mes,2,0,0.05,4,32,0.2737842534011796
mes,2,0,0.05,4,34,0.27335785573631877
mes,2,0,0.05,4,36,0.27293688024407514
mes,2,0,0.05,4,38,0.2725571492323377
mes,2,0,0.05,4,40,0.2721819340988556
mes,2,0,0.05,4,42,0.271840510446557
mes,2,0,0.05,4,44,0.27150296511697203
mes,2,0,0.05,4,46,0.27119342142038383
mes,2,0,0.05,4,48,0.27088728966252434
mes,2,0,0.05,4,50,0.27060461538802205
mes,2,0,0.05,4,52,0.2703249978867373
mes,2,0,0.05,4,54,0.2700652305168272
mes,2,0,0.05,4,56,0.2698082391010792
mes,2,0,0.05,4,58,0.26956820137597864
mes,2,0,0.05,4,60,0.2693307101008929
mes,2,0,0.05,4,62,0.26910782149325596
mes,2,0,0.05,4,64,0.26888728648758775
mes,2,0,0.05,4,66,0.26867942633332914
mes,2,0,0.05,4,68,0.2684737540214026
mes,2,0,0.05,4,70,0.26827916079790864
mes,3,0,1.6,4,26,4.595359804264874
mes,3,0,1.6,4,28,4.596802721042752
mes,3,0,1.6,4,30,4.598054733626327
mes,3,0,1.6,4,32,4.599150054872419
