N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
5,0,0.00625,4,26,195,195,0.06166473247212482,0.48,improved
5,0,0.00625,4,28,245,245,0.061725446333437455,0.1,improved
5,0,0.00625,4,30,295,295,0.06177769859497507,0.12,improved
5,0,0.00625,4,32,360,360,0.06182306856562381,0.19,improved
5,0,0.00625,4,34,425,425,0.06186276887706957,0.15,improved
5,0,0.00625,4,36,507,507,0.06189774540071488,0.18,improved
5,0,0.00625,4,38,589,589,0.06192874697399288,0.22,improved
5,0,0.00625,4,40,690,690,0.06195637363426227,0.24,improved
5,0,0.00625,4,42,791,791,0.06198111209308667,0.28,improved
5,0,0.00625,4,44,913,913,0.06200336079672866,0.33,improved
5,0,0.00625,4,46,1035,1035,0.062023449353176476,0.41,improved
5,0,0.00625,4,48,1180,1180,0.06204165237121763,0.42,improved
5,0,0.00625,4,50,1325,1325,0.062058200738878494,0.48,improved
5,0,0.00625,4,52,1495,1495,0.0620732896317477,0.59,improved
5,0,0.00625,4,54,1665,1665,0.062087085440732416,0.6,improved
5,0,0.00625,4,56,1862,1862,0.062099730531069146,0.69,improved
5,0,0.00625,4,58,2059,2059,0.0621113477065711,0.8,improved
5,0,0.00625,4,60,2285,2285,0.06212204316172048,0.93,improved
5,0,0.00625,4,62,2511,2511,0.062131909415832444,0.97,improved
5,0,0.00625,4,64,2768,2768,0.06214102720705882,1.15,improved
5,0,0.00625,4,66,3025,3025,0.06214946750763187,1.22,improved
5,0,0.00625,4,68,3315,3315,0.06215729273351831,1.42,improved
5,0,0.00625,4,70,3605,3605,0.06216455819486714,1.53,improved
5,0,0.003125,4,26,195,195,0.030738679369938987,0.08,improved
5,0,0.003125,4,28,245,245,0.030770555567290116,0.1,improved
5,0,0.003125,4,30,295,295,0.030798140311559967,0.11,improved
5,0,0.003125,4,32,360,360,0.03082222711226816,0.13,improved
5,0,0.003125,4,34,425,425,0.030843425883335086,0.15,improved
5,0,0.003125,4,36,507,507,0.03086221306660068,0.18,improved
5,0,0.003125,4,38,589,589,0.03087896626590167,0.2,improved
5,0,0.003125,4,40,690,690,0.03089398851460456,0.25,improved
