N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
2,0,0.1,4,26,195,195,0.5993671445845192,1.02,improved
2,0,0.1,4,28,245,245,0.5984057377646864,0.48,improved
2,0,0.1,4,30,295,295,0.5975588660569658,0.6,improved
2,0,0.1,4,32,360,360,0.5967208103470765,0.7,improved
2,0,0.1,4,34,425,425,0.5959740500231545,0.76,improved
2,0,0.1,4,36,507,507,0.5952363187624371,0.89,improved
2,0,0.1,4,38,589,589,0.5945718286135587,1.03,improved
2,0,0.1,4,40,690,690,0.5939161435584371,1.19,improved
2,0,0.1,4,42,791,791,0.5933198439548197,1.37,improved
2,0,0.1,4,44,913,913,0.5927319364676708,1.57,improved
2,0,0.1,4,46,1035,1035,0.5921927448070586,1.74,improved
2,0,0.1,4,48,1180,1180,0.5916614557089304,2.1,improved
2,0,0.1,4,50,1325,1325,0.5911705908010321,2.25,improved
2,0,0.1,4,52,1495,1495,0.5906871176824068,2.54,improved
2,0,0.1,4,54,1665,1665,0.5902375531265296,2.87,improved
2,0,0.1,4,56,1862,1862,0.58979487681137,3.16,improved
2,0,0.1,4,58,2059,2059,0.5893809297277987,3.58,improved
2,0,0.1,4,60,2285,2285,0.5889733891341736,3.97,improved
2,0,0.1,4,62,2511,2511,0.5885904141632725,4.42,improved
2,0,0.1,4,64,2768,2768,0.5882133927544497,4.79,improved
2,0,0.1,4,66,3025,3025,0.5878575540015573,5.26,improved
2,0,0.1,4,68,3315,3315,0.5875072474880524,5.81,improved
2,0,0.1,4,70,3605,3605,0.587175347353061,6.3,improved
2,0,0.05,4,26,195,195,0.2752929774767207,0.39,improved
2,0,0.05,4,28,245,245,0.27474559600623844,0.49,improved
2,0,0.05,4,30,295,295,0.2742615490899224,0.56,improved
2,0,0.05,4,32,360,360,0.2737842534011796,0.69,improved
2,0,0.05,4,34,425,425,0.27335785573631877,0.76,improved
2,0,0.05,4,36,507,507,0.27293688024407514,0.89,improved
2,0,0.05,4,38,589,589,0.2725571492323377,1.06,improved
2,0,0.05,4,40,690,690,0.2721819340988556,1.21,improved
2,0,0.05,4,42,791,791,0.271840510446557,1.36,improved
2,0,0.05,4,44,913,913,0.27150296511697203,1.58,improved
2,0,0.05,4,46,1035,1035,0.27119342142038383,1.82,improved
2,0,0.05,4,48,1180,1180,0.27088728966252434,2.04,improved
2,0,0.05,4,50,1325,1325,0.27060461538802205,2.29,improved
2,0,0.05,4,52,1495,1495,0.2703249978867373,2.6,improved
2,0,0.05,4,54,1665,1665,0.2700652305168272,2.84,improved
2,0,0.05,4,56,1862,1862,0.2698082391010792,3.24,improved
2,0,0.05,4,58,2059,2059,0.26956820137597864,3.55,improved
2,0,0.05,4,60,2285,2285,0.2693307101008929,4.12,improved
2,0,0.05,4,62,2511,2511,0.26910782149325596,4.44,improved
2,0,0.05,4,64,2768,2768,0.26888728648758775,4.91,improved
2,0,0.05,4,66,3025,3025,0.26867942633332914,5.38,improved
2,0,0.05,4,68,3315,3315,0.2684737540214026,5.97,improved
2,0,0.05,4,70,3605,3605,0.26827916079790864,6.5,improved
2,0,0.025,4,26,195,195,0.13058018222236714,0.38,improved
2,0,0.025,4,28,245,245,0.13030268180269572,0.47,improved
2,0,0.025,4,30,295,295,0.13005799691446812,0.54,improved
2,0,0.025,4,32,360,360,0.12981842898514517,0.66,improved
2,0,0.025,4,34,425,425,0.1296051593467416,0.76,improved
2,0,0.025,4,36,507,507,0.1293955110217288,0.96,improved
2,0,0.025,4,38,589,589,0.12920717828682282,1.03,improved
2,0,0.025,4,40,690,690,0.12902149126962195,1.26,improved
2,0,0.025,4,42,791,791,0.12885330183085292,1.37,improved
2,0,0.025,4,44,913,913,0.12868710809682177,1.59,improved
2,0,0.025,4,46,1035,1035,0.1285354561674044,1.84,improved
2,0,0.025,4,48,1180,1180,0.1283853569042808,2.06,improved
2,0,0.025,4,50,1325,1325,0.1282474819675976,2.28,improved
2,0,0.025,4,52,1495,1495,0.12811085083422072,2.73,improved
2,0,0.025,4,54,1665,1665,0.12798460326582187,2.94,improved
2,0,0.025,4,56,1862,1862,0.12785937940306788,3.34,improved
2,0,0.025,4,58,2059,2059,0.12774305869811542,3.77,improved
2,0,0.025,4,60,2285,2285,0.12762760148617364,4.31,improved
2,0,0.025,4,62,2511,2511,0.12751984295065327,4.64,improved
2,0,0.025,4,64,2768,2768,0.12741282884931843,5.13,improved
2,0,0.025,4,66,3025,3025,0.12731252292419765,5.68,improved
2,0,0.025,4,68,3315,3315,0.12721287115389557,6.46,improved
2,0,0.025,4,70,3605,3605,0.1271191050209522,7.18,improved
2,0,0.0125,4,26,195,195,0.06342320985419377,0.38,improved
2,0,0.0125,4,28,245,245,0.06328693509185712,0.46,improved
2,0,0.0125,4,30,295,295,0.06316736553344326,0.57,improved
2,0,0.0125,4,32,360,360,0.0630511359941184,0.67,improved
2,0,0.0125,4,34,425,425,0.06294823577738391,0.76,improved
2,0,0.0125,4,36,507,507,0.0628476206712362,0.92,improved
2,0,0.0125,4,38,589,589,0.06275778402719841,1.05,improved
2,0,0.0125,4,40,690,690,0.06266953894701278,1.23,improved
2,0,0.0125,4,42,791,791,0.06259013212037876,1.38,improved
2,0,0.0125,4,44,913,913,0.06251185185942582,1.6,improved
2,0,0.0125,4,46,1035,1035,0.06244091521420691,1.95,improved
2,0,0.0125,4,48,1180,1180,0.06237078739581875,2.16,improved
2,0,0.0125,4,50,1325,1325,0.062306835283945636,2.45,improved
2,0,0.0125,4,52,1495,1495,0.06224347110251185,2.89,improved
2,0,0.0125,4,54,1665,1665,0.06218535710224061,3.19,improved
2,0,0.0125,4,56,1862,1862,0.062127675109139566,3.65,improved
2,0,0.0125,4,58,2059,2059,0.0620745000875019,4.01,improved
2,0,0.0125,4,60,2285,2285,0.062021645550036156,4.74,improved
2,0,0.0125,4,62,2511,2511,0.06197269383823254,5.13,improved
2,0,0.0125,4,64,2768,2768,0.0619239819402139,5.79,improved
2,0,0.0125,4,66,3025,3025,0.06187867625989983,6.31,improved
2,0,0.0125,4,68,3315,3315,0.06183355148093652,6.94,improved
2,0,0.0125,4,70,3605,3605,0.0617914205309552,7.74,improved
