N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
5,1,0.1,7,5,1,1,5.691608105593571,28.65,improved
5,1,0.1,7,7,1,1,6.516395073161985,0.06,improved
5,1,0.1,7,9,4,3,7.00834486519746,0.24,improved
5,1,0.1,7,11,9,6,7.323135707117567,0.6,improved
5,1,0.1,7,13,18,12,7.538148515421273,1.19,improved
5,1,0.1,7,15,32,21,7.692742729466613,2.09,improved
5,1,0.1,7,17,54,36,7.808856279065635,3.35,improved
5,1,0.1,7,19,85,57,7.899220625427288,4.78,improved
5,1,0.1,7,21,132,90,7.9706421602491915,6.85,improved
5,1,0.1,7,23,197,135,8.028602729456468,9.64,improved
5,1,0.1,7,25,287,199,8.076386380391877,13.13,improved
5,1,0.1,7,27,407,284,8.116363279975035,17.78,improved
5,1,0.1,7,29,567,400,8.15020691832471,24.64,improved
5,1,0.1,7,31,773,549,8.179221906385967,31.05,improved
5,1,0.1,7,33,1040,745,8.204226486958403,37.44,improved
5,1,0.05,7,5,1,1,2.7574268155347044,0.07,improved
5,1,0.05,7,7,1,1,3.154171471179795,0.06,improved
5,1,0.05,7,9,4,3,3.394694892904237,0.22,improved
5,1,0.05,7,11,9,6,3.5513632297952107,0.56,improved
5,1,0.05,7,13,18,12,3.6601973199233426,1.09,improved
5,1,0.05,7,15,32,21,3.7397083038426535,2.03,improved
5,1,0.05,7,17,54,36,3.8002117057680413,3.32,improved
5,1,0.05,7,19,85,57,3.8478264994463443,4.52,improved
5,1,0.05,7,21,132,90,3.885882925955555,6.2,improved
5,1,0.05,7,23,197,135,3.9170757312962103,8.9,improved
5,1,0.05,7,25,287,199,3.9430200784804836,12.12,improved
5,1,0.05,7,27,407,284,3.9649056186923546,16.89,improved
5,1,0.05,7,29,567,400,3.98358073557183,21.86,improved
5,1,0.05,7,31,773,549,3.9997075003825593,28.21,improved
5,1,0.05,7,33,1040,745,4.013709211908701,35.28,improved
5,1,0.025,7,5,1,1,1.3479371274798926,0.07,improved
5,1,0.025,7,7,1,1,1.5411995705509864,0.06,improved
5,1,0.025,7,9,4,3,1.6592841765798856,0.22,improved
5,1,0.025,7,11,9,6,1.7368467586511898,0.56,improved
5,1,0.025,7,13,18,12,1.7911718349720402,1.1,improved
5,1,0.025,7,15,32,21,1.8311721141680362,1.98,improved
5,1,0.025,7,17,54,36,1.8618089272408238,3.26,improved
5,1,0.025,7,19,85,57,1.8860550122844824,4.63,improved
5,1,0.025,7,21,132,90,1.9055457830645597,6.22,improved
5,1,0.025,7,23,197,135,1.9216022492782028,8.79,improved
5,1,0.025,7,25,287,199,1.935018529297012,12.21,improved
5,1,0.025,7,27,407,284,1.946385281819189,18.03,improved
5,1,0.025,7,29,567,400,1.9561250754688997,25.3,improved
5,1,0.025,7,31,773,549,1.96456810360212,28.38,improved
5,1,0.025,7,33,1040,745,1.9719280222216335,36.99,improved
5,1,0.0125,7,5,1,1,0.6652353322023531,0.08,improved
5,1,0.0125,7,7,1,1,0.7604478018460005,0.06,improved
5,1,0.0125,7,9,4,3,0.8188458249619327,0.24,improved
5,1,0.0125,7,11,9,6,0.8573597449145418,0.63,improved
5,1,0.0125,7,13,18,12,0.8844444593446328,1.23,improved
5,1,0.0125,7,15,32,21,0.9044648654430059,2.13,improved
5,1,0.0125,7,17,54,36,0.9198489637949546,3.54,improved
5,1,0.0125,7,19,85,57,0.9320583941018984,5.11,improved
5,1,0.0125,7,21,132,90,0.9419021471464208,7.17,improved
5,1,0.0125,7,23,197,135,0.9500322155141045,10.25,improved
5,1,0.0125,7,25,287,199,0.9568414971017944,14.09,improved
5,1,0.0125,7,27,407,284,0.962623583140095,19.34,improved
5,1,0.0125,7,29,567,400,0.9675887625227404,23.0,improved
5,1,0.0125,7,31,773,549,0.9719014825305399,28.25,improved
5,1,0.0125,7,33,1040,745,0.9756688752994508,35.41,improved
