N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
2,1,0.4,4,2,1,1,2.3251485700646546,0.39,improved
2,1,0.4,4,4,1,1,2.651557375660941,0.02,improved
2,1,0.4,4,6,4,3,2.6533548544606407,0.04,improved
2,1,0.4,4,8,8,5,2.6510595159643175,0.06,improved
2,1,0.4,4,10,14,9,2.6470388903448594,0.07,improved
2,1,0.4,4,12,23,14,2.6441431968353886,0.09,improved
2,1,0.4,4,14,36,22,2.641262183883272,0.13,improved
2,1,0.4,4,16,51,31,2.639146686172956,0.15,improved
2,1,0.4,4,18,72,44,2.637222037827702,0.22,improved
2,1,0.4,4,20,97,59,2.6357154640993175,0.27,improved
2,1,0.4,4,22,127,78,2.634369902322301,0.34,improved
2,1,0.4,4,24,163,100,2.6332707023331796,0.46,improved
2,1,0.4,4,26,206,127,2.632287926950896,0.54,improved
2,1,0.4,4,28,254,157,2.6314609125550934,0.67,improved
2,1,0.4,4,30,311,193,2.6307173892474958,0.79,improved
2,1,0.4,4,32,375,233,2.630077694681172,0.97,improved
2,1,0.8,4,2,1,1,3.4282777979808254,0.01,improved
2,1,0.8,4,4,1,1,4.124076181822922,0.01,improved
2,1,0.8,4,6,4,3,3.8827353000392515,0.03,improved
2,1,0.8,4,8,8,5,3.8905066899924607,0.04,improved
2,1,0.8,4,10,14,9,3.892741999416102,0.06,improved
2,1,0.8,4,12,23,14,3.894586753563723,0.08,improved
2,1,0.8,4,14,36,22,3.895947062202813,0.12,improved
2,1,0.8,4,16,51,31,3.897176954688751,0.16,improved
2,1,0.8,4,18,72,44,3.898192081736403,0.23,improved
2,1,0.8,4,20,97,59,3.899104336390869,0.26,improved
2,1,0.8,4,22,127,78,3.899890783533284,0.35,improved
2,1,0.8,4,24,163,100,3.9006009940351065,0.43,improved
2,1,0.8,4,26,206,127,3.9012277257150054,0.61,improved
2,1,0.8,4,28,254,157,3.901797768231097,0.66,improved
2,1,0.8,4,30,311,193,3.9023089606919044,0.78,improved
2,1,0.8,4,32,375,233,3.902777168094701,0.97,improved
2,1,1.6,4,2,1,1,3.8657036625446946,0.01,improved
2,1,1.6,4,4,1,1,4.942239417806429,0.01,improved
2,1,1.6,4,6,4,3,4.105100985872307,0.03,improved
2,1,1.6,4,8,8,5,4.2475566793143535,0.04,improved
2,1,1.6,4,10,14,9,4.248313652464713,0.06,improved
2,1,1.6,4,12,23,14,4.26215500044845,0.08,improved
2,1,1.6,4,14,36,22,4.270300623431022,0.12,improved
2,1,1.6,4,16,51,31,4.27618817652827,0.16,improved
2,1,1.6,4,18,72,44,4.280638475371761,0.21,improved
2,1,1.6,4,20,97,59,4.284132931440469,0.27,improved
2,1,1.6,4,22,127,78,4.286952064511395,0.36,improved
2,1,1.6,4,24,163,100,4.289278132396193,0.43,improved
2,1,1.6,4,26,206,127,4.291230414928573,0.55,improved
2,1,1.6,4,28,254,157,4.2928938573661775,0.64,improved
2,1,1.6,4,30,311,193,4.294328080560146,0.8,improved
2,1,1.6,4,32,375,233,4.295578153437755,0.93,improved
